AAAAA,BBBBB,CCCCC,DDDDD,EEEEE
523,209412,160408,663366,253266
7871,556859,252136,542914,351975
5458,828075,750794,752782,844586
823,424595,576410,939687,292938
9875,706013,782409,876954,608939
7667,265893,191719,150231,323338
7890,223419,767803,473198,857605
431,402997,53456,65870,569603
7360,679812,954302,866376,327428
9300,213370,899786,560896,369408
4241,132549,554195,554286,123051
467,569077,340484,703292,183212
7224,259986,627716,359866,26535
8880,985840,426889,730354,839124
4382,35749,326803,395601,991042
7967,390907,1684,748438,3678
6922,385435,956091,529391,172233
4873,611264,728238,209881,450600
9813,564410,446207,498459,837116
1628,339220,896252,652811,531888
5484,231217,923281,739802,51618
6371,23093,388732,110557,696980
8264,907989,414304,154058,375737
8508,963429,291900,188211,186145
8485,873185,59428,447480,639554
1596,659173,48764,524106,832595
2652,476882,169348,105061,808915
4906,418102,98715,768467,781889
7987,159759,417695,623965,406876
6525,195704,346925,206022,690440
3142,96001,207027,908252,809225
5636,489589,240873,280351,26820
6250,630138,583727,897545,895247
6472,389235,204778,300709,621495
9675,275028,929284,767978,294630
8817,512069,274706,605411,158028
1777,759959,832066,311508,241616
3353,457593,687766,75715,802849
131,623302,150814,108372,414844
4288,876157,887934,412224,827052
8478,344456,912546,623338,624629
9831,890333,532170,920924,183003
1441,32834,680186,59091,593902
5342,844149,816905,793688,821180
9292,127397,513301,735926,626479
2812,53900,89528,989487,722226
851,792573,748618,777520,594947
171,327407,383848,242538,897862
4725,264963,13323,307978,545970
5793,761348,969157,810956,951685
7652,813246,283151,583577,380459
7031,778664,708936,782391,102021
7988,488780,39615,143961,890398
5432,374648,761105,971045,493233
1483,487023,335465,775148,625858
6060,491907,871732,783562,841958
796,668924,109107,309890,931376
7322,666135,134803,997722,363572
2797,935172,215097,176123,604886
1747,264321,935117,337811,675656
484,321499,631916,110138,133823
7511,856864,646931,297650,52341
7364,693624,182044,494646,474620
9735,722854,127992,981231,225791
3091,144478,598428,84162,857156
9852,160830,88841,71023,371129
6555,342435,590964,805281,250028
6900,233424,151955,271603,780875
3707,478311,845225,189010,440293
2784,561389,518312,269900,865676
3410,124508,677388,416675,651005
3942,620182,275592,41474,178348
502,979349,576325,97883,598124
9829,300958,66070,584516,921678
5651,369464,9851,871888,580671
2279,827774,75782,194651,321960
6124,186454,160797,327175,917820
3187,716443,250342,23096,277171
9759,586766,276155,974160,665211
9849,753875,39569,849514,259720
4429,37700,401935,799777,602307
908,72213,629716,535163,51120
2728,481424,22414,188594,65250
9075,855836,891280,523241,391716
2787,69811,498008,136465,711135
6401,973792,833298,794162,213600
5998,740372,171201,618437,859676
4565,503202,912387,626334,735937
7423,76253,666722,52826,803332
8241,391942,558300,954530,611700
297,772141,381387,208126,77299
1855,150221,994242,846331,867780
8605,479638,801429,437882,846087
7810,551350,691842,705154,775286
9624,499152,822243,548575,442451
7974,739214,291085,702865,810119
9505,890215,500938,910661,984418
4364,486805,531525,243721,525789
8557,713804,17185,117410,9335
9415,180714,505273,715068,496343
7619,8704,966466,141335,731852
4001,6114,954519,411517,86390
7834,760694,377970,325112,175202
5417,135939,158214,518685,112725
4396,879058,624845,354212,152815
4488,243629,774041,912388,534048
2179,622899,57587,947939,421537
3843,138912,840405,294477,653052
9991,96726,838634,358912,897924
4632,87947,213133,650837,552542
3858,421628,556447,541790,359529
4223,449751,119917,613650,98788
805,36881,273046,362733,614779
5835,398187,576267,925122,303946
9806,964943,669738,823411,35595
7811,531738,505938,588705,564585
9273,783487,196061,451232,435486
5222,895159,803277,446238,734311
7557,687797,136544,542796,122257
5241,644549,40597,702872,374339
8451,216575,10143,1613,236135
7771,64091,109465,814736,990890
7690,394044,612655,918261,209826
5619,274008,275127,371246,500275
73,199983,279926,900422,460340
2117,603945,322522,533055,50307
8574,413023,110810,368014,47959
8923,622225,24219,59950,904922
5180,872152,762252,265501,31713
2621,498959,811963,628119,130525
6565,435368,842781,33557,214945
9627,493890,427434,172350,322519
4890,445305,783922,765728,939987
1214,163906,90881,640316,474472
32,59071,714607,6369,274330
9624,28890,121715,407124,312258
4060,51892,716312,202286,612408
3999,501274,701267,314941,372601
4267,653067,351423,482327,979375
2102,354808,724994,351732,833522
2824,189509,589047,218029,104652
4003,43110,561134,663844,734264
3269,274057,318363,848908,940853
7624,550873,571721,28118,263565
6403,111086,730794,273138,405523
913,170860,784660,872677,690912
5130,129598,624233,405174,935705
6975,664557,53060,229537,351800
9469,961594,205038,570823,15430
9188,584095,557687,425712,350429
6486,402493,90579,19095,714311
7869,563677,413078,793746,214987
3840,140496,527688,528932,518834
8021,724674,131558,599294,396636
5705,636455,179829,127551,715974
6623,943881,125715,563375,520457
9823,837256,504469,224110,132848
2712,364887,265787,777347,811821
7978,322807,565681,313073,870968
8378,112232,166740,305686,435215
3647,538039,47029,298091,704969
9798,802331,112559,85778,977210
997,124085,803891,196278,116632
4497,149460,643584,477918,490609
4589,174264,318613,910969,575497
8256,28928,709148,544150,82135
1212,753763,162067,829232,133671
6401,398070,45351,243148,294797
8234,918663,682017,244955,766241
4441,445367,70734,452976,342929
6646,198051,185341,214620,12124
5358,522358,599464,403003,497671
2819,901740,298922,885473,373252
9519,706470,911752,716744,611019
807,119188,836910,899001,957874
9047,561686,989644,579533,693094
2255,722729,712136,636450,158630
3686,207374,379043,165692,337630
914,370754,80625,608353,883900
2390,681985,46968,419956,155011
406,165464,857276,35394,741932
704,343727,485108,262705,617484
4402,280855,53223,833005,256819
8576,834551,355137,308433,389465
8575,39672,740759,68252,194438
7305,178689,477221,79051,227921
9329,808104,333793,764845,170300
5052,826286,465190,462152,5368
943,194388,959264,396153,294451
6533,246907,452909,725268,244499
3185,261906,22370,428954,952507
2449,473408,453161,976355,266374
8001,226720,305782,265552,81646
3787,132219,86214,943380,368086
3649,945151,253504,333963,513633
2820,991823,589003,434635,912583
5111,976304,573475,28792,367952
6365,596092,742220,864679,233407
5537,5147,958503,293394,270492
4762,726017,826379,11750,546809
1055,368741,888962,895234,32353
1443,363130,421348,158235,970607
3448,932303,441668,96060,884538
8743,322707,809688,793624,216188
8672,763602,18732,761070,724961
9518,352717,36900,543893,175879
5945,119483,989855,247082,867547
5091,551352,240744,375087,681119
7513,395681,91110,47459,172636
8056,981697,982662,572965,916468
1813,611209,286018,173633,311972
7993,602161,364839,812764,269566
6847,928303,254071,153722,185550
7735,301609,57170,124550,790053
2738,32958,978287,758694,51268
9975,756100,126204,341022,111162
2874,67130,515476,13229,391046
1080,662970,254847,428605,497070
4415,367524,107598,643029,726938
7621,259899,898240,971057,135083
887,389893,659618,292916,819258
9669,255811,897588,14438,633743
4834,632662,112934,226481,989042
3431,396573,444622,652546,125673
5547,282272,885742,908864,446794
7171,733882,403928,254513,728084
1013,459490,765069,405923,455550
2855,283434,132322,597034,852079
3641,734428,861307,427658,173796
476,171880,965406,281708,444059
8142,752278,483685,562504,145378
5337,126578,21942,533543,240179
5020,239975,241974,602809,74789
880,929150,842626,837306,906766
7342,642834,622121,63572,121850
5426,877487,166541,993295,284777
9050,328009,135954,802488,698002
4907,52928,116611,757823,682867
2235,301917,744820,926744,824530
5054,552741,211644,332038,382426
889,673239,370203,142596,970862
1983,868907,704433,372100,261106
7694,267473,932744,256418,350814
8755,529269,480131,41487,951375
1811,997281,267190,483111,498677
5223,746287,795315,788452,999432
5741,82199,520613,338267,803741
2218,853776,139349,771529,801379
3798,152933,116618,764339,806739
1476,497949,548703,346469,789263
5899,224208,831931,34987,85058
9991,678409,68826,662527,602343
9214,537808,171611,311946,264665
3569,744395,814464,496888,985754
1308,231872,364577,591743,642479
4085,321722,277870,255911,204152
1814,840568,488683,880975,141635
882,847298,44755,403474,828014
863,596284,131022,692405,13457
7144,686,405232,706890,620807
1229,556243,619014,634852,332784
3810,702095,402006,715829,228979
9068,542825,262059,366099,419066
9238,171618,774478,339640,444749
3760,428842,982566,850984,603405
6430,17945,983969,329106,402720
613,853099,596243,398047,466104
4857,603211,602392,759752,69917
8690,634577,689537,719686,307015
4875,800131,780570,650486,206607
9363,318860,367810,665367,266754
4407,859750,862658,1947,554960
8217,910145,948754,371272,212870
1401,712236,470184,168805,186075
2581,259729,736580,698485,704032
842,840919,731066,1222,452960
5402,178752,404297,959796,919935
7711,930044,754790,190351,26988
6819,691158,185066,285299,352370
2000,907224,185014,36425,892433
1037,412735,846652,895934,121954
4525,734802,909836,4094,757381
8755,959697,748424,15768,775301
1465,463109,359418,484359,618840
6329,992611,846878,486148,875560
3021,913991,84395,33938,324072
9477,537517,330870,848011,459115
2454,509876,14781,130547,852553
3383,116311,630186,458077,205884
1434,256300,483252,361823,962112
2515,635801,299153,711574,944135
3744,572713,936190,421875,439603
5743,133436,766656,710374,853483
1144,688322,345814,203527,495320
8446,923407,754118,563561,853488
8192,117130,956952,323448,394756
8336,764452,846530,31756,839497
241,467390,702968,261064,661866
9030,614070,149947,181869,378254
398,69980,80783,965956,562292
7911,995656,236849,142861,159690
2270,961293,56784,982908,374528
9688,790470,65405,429402,669491
9895,320582,868248,350528,640750
8293,167959,819776,1138,571874
2088,699385,642635,756628,759665
1386,936044,533019,13360,195180
2009,604284,290505,194313,752544
3468,616429,564619,979492,506699
5165,388683,452784,636213,197831
3133,370878,480498,939665,510243
7451,774657,877848,809317,540461
2705,198745,663876,257605,267523
3323,284620,11916,531836,797749
3340,195507,282774,453158,554732
1073,566015,171474,616755,646780
6903,918703,923424,757986,236242
6376,466724,122253,505451,865033
5228,459075,674844,163709,644063
4248,507090,205308,279798,843506
9429,328310,632816,607754,730801
7971,615564,117428,89823,605342
247,961520,364393,965651,477063
7409,496950,951037,976465,317456
9976,710104,625505,894890,859181
5280,232585,117275,396131,864842
7880,354345,418540,220890,638278
7083,471795,880087,955672,682880
9109,443247,780563,270634,276851
5347,469070,126283,354698,46731
1354,864450,226675,205110,102597
999,455599,921304,399944,44857
2245,181225,441068,691554,406545
6503,635519,778802,641456,884066
8932,493245,269065,627736,421820
3523,656744,282041,294608,468016
7363,186324,5187,609567,776999
2156,662842,84855,471818,452614
5217,183684,636800,897807,646032
1579,677714,525843,612114,804125
3517,745707,104112,412729,475018
9413,582148,420970,208893,601483
6368,878189,841579,425464,774364
4967,42170,751248,678273,383114
480,95622,241182,322469,955038
7349,326982,526684,692216,854765
9499,230081,776586,248699,340186
5078,374818,903094,113970,425315
5115,116868,395496,4090,184845
9543,348649,62736,867153,352683
6607,293515,278453,988887,575624
1277,630304,101165,113589,716928
6732,251041,157086,99861,141586
6944,169590,17145,693675,815705
5994,98144,400041,214115,279840
9440,534646,335286,438248,939508
9600,467632,262171,990682,166045
8073,9064,871510,873570,463603
6422,512651,949660,197947,517194
1465,404390,337196,548277,49617
7566,228344,919391,768432,89104
1073,649480,2116,698193,964019
8099,643446,237518,234638,859552
543,323026,573084,440683,592247
92,558944,788890,293905,452054
9095,675168,961699,820218,872279
4910,285158,230876,742565,316786
9420,291024,557339,713002,528810
5845,160970,300351,586964,665334
8726,104944,505745,858981,849070
2967,598280,269983,138950,729023
906,37502,498804,822209,328934
9013,770536,23588,301992,900917
4099,80086,824488,98108,869298
6451,526951,702536,726,764961
1501,292035,410155,100301,926018
1605,888338,613763,573529,850258
874,269412,296382,693827,956367
7237,299113,575427,624138,773119
7179,222124,273494,20995,980604
8234,614841,639610,467172,48578
8380,575951,299785,200124,476084
7966,290060,432589,262094,221031
2996,16409,283882,379073,496117
5170,852348,910534,244286,183151
736,270835,167283,926363,850651
5266,189395,366974,306480,352313
9536,37313,545675,54225,673010
6229,729302,110801,238088,128808
994,335654,685431,892525,767906
1432,829379,500613,171680,570327
3934,630284,1514,930272,35100
2384,844570,135345,661070,751761
782,849897,180449,512516,92491
4430,553713,956644,650588,250436
3236,383025,898746,660549,90860
1254,878961,852775,782797,326227
8152,860973,154979,537895,62783
2714,261117,871723,122192,761327
1742,748006,356226,189101,368772
3214,7062,452331,101006,856236
3711,68191,309165,804323,927460
9774,772279,942573,480701,476849
977,956096,198858,826687,844025
3049,566661,976631,215550,153633
9772,258373,601205,999148,515597
8163,491716,449549,409026,346583
4955,520308,498478,33563,428810
605,795974,540744,270398,332404
7774,937461,870191,910753,181568
5940,466221,581478,807405,647719
5834,283618,325244,360716,767954
3879,942583,67075,598126,789029
4793,704983,558275,6347,135339
9416,13804,14717,740806,104935
2133,121418,93079,176648,104596
2010,227183,996186,34989,856054
2911,414588,514943,637956,826149
9907,848728,106345,881054,226595
6167,307854,294504,627848,120362
5061,13090,813288,537592,274224
916,128482,480811,290103,183591
2461,910834,25845,747748,689025
4786,262440,38824,559968,173308
1886,122636,869226,908074,588703
5270,687002,678980,13177,735429
141,88806,815027,41423,827797
2809,445979,289568,69234,427931
4558,791849,359915,506395,417289
6184,957387,152192,918763,41321
9379,561436,960979,674241,971405
1718,671762,471561,108581,488944
9939,377244,298579,583865,758632
8832,459932,142036,345436,256128
6147,229442,378868,386576,651370
8675,310384,455094,816604,303692
8938,402087,431383,537221,305214
2558,776551,997289,430140,609525
8559,113054,597330,449338,612837
1662,563969,957449,3141,501135
1925,894264,180270,284455,931472
6494,599095,496435,98005,794245
4915,545158,812823,150265,683556
6798,150882,61477,322497,166080
4947,617906,383378,498237,526582
1181,68749,600609,117686,432107
9603,197574,494465,392053,666607
1938,791643,842280,65915,713239
8293,471863,226563,628093,314863
997,191052,285064,522460,497115
2124,569757,38711,361709,45595
8917,722067,721352,85086,274505
4235,457044,285485,414451,408284
7616,86468,605021,346655,652006
1565,527268,727203,787847,26597
6053,326803,234266,587774,585398
8652,788524,239500,706232,568940
8732,767022,761555,171105,227717
4739,332464,738746,62594,200881
1483,41312,616047,325528,586477
6366,569710,205789,464014,889046
2798,399144,372881,696254,247945
1370,170827,805868,118209,661699
4726,319568,205631,7128,191258
9481,339215,145763,508977,95741
8666,464271,489089,653911,885940
2141,705389,983242,665728,931018
6863,541552,134735,444719,412064
9185,677640,762761,986313,115863
6725,974332,226596,561075,220808
6771,204940,814957,410715,467679
6059,640535,321579,458289,898538
8590,551955,48615,318230,551386
9796,106378,915730,563235,829742
6782,851853,273087,293095,630931
8575,485097,853262,999955,702903
2262,87957,756781,45059,856257
6015,444095,386205,127552,386342
376,232523,277630,792087,898450
8496,59077,531396,731872,498262
4830,360577,947790,169754,845232
8021,16041,192902,805367,833514
977,79891,128070,152935,259400
4884,252918,598687,461077,652895
2276,5761,74770,301808,403344
8205,383171,669862,72757,231576
2554,950801,847696,689541,202403
8620,561573,289036,434242,765433
6437,975218,592981,758821,894354
9156,396738,740715,229428,723578
6811,997252,453772,475494,696669
4270,187326,550926,197288,798879
8207,753716,963891,485580,657186
1053,35040,598513,657253,273721
8646,134759,425929,780392,295913
5226,456530,531601,635798,236616
3824,548914,909850,267825,617095
480,987623,292316,700304,602588
5724,481409,284231,997462,341811
9713,900907,955075,820681,21938
7354,383111,221652,397403,993658
8987,628706,701769,396859,32975
9002,795961,74242,312285,929907
5184,904586,133952,915819,462797
5803,378906,414665,850170,903760
4615,224346,402946,239058,187225
7285,70919,798753,464683,504228
340,767782,343453,436962,959923
7418,481816,995737,680151,881268
4778,268224,494267,418564,945429
2047,756737,146764,207189,529
7403,686002,504597,879318,711035
1246,651726,352557,105861,347322
3504,470288,583425,500600,429782
599,695083,44881,94003,436845
9794,205486,941511,520790,413429
1804,782332,371923,110261,371438
8219,724890,929628,392622,57545
3959,14731,389037,843185,175557
6742,943490,966950,772503,407020
25,254347,724124,729202,904038
7944,672033,435732,29899,53590
5645,546572,486557,876918,752512
9956,285681,13768,200769,965685
1244,590246,395098,805673,437864
8979,471898,996788,794469,562383
5096,521858,770685,555797,956875
2662,934448,171997,855578,259478
9054,866737,93368,577470,593057
3482,105645,714341,98705,266203
1037,795602,747110,558893,980404
6842,885984,803580,580982,71649
7829,403210,393490,11534,151793
3886,937999,988164,171565,498033
4299,318849,578777,958643,517096
8399,542813,404519,459895,944751
7914,701825,269970,495070,383897
6697,484842,216159,177674,421842
3684,304710,278810,888120,255716
425,844067,259176,577291,486396
5832,746343,577104,219118,748921
5613,805621,645842,594485,240105
7811,169120,649208,89848,996982
8741,781692,347763,871164,455536
7533,449195,223894,233734,174338
4402,353945,177272,994518,40493
5626,511750,588789,831514,210388
5495,816329,524153,654413,638853
2413,682208,12614,927048,601848
5392,391993,759868,238180,558594
5329,882295,340815,392346,835316
5339,771478,442932,554042,849367
9181,125118,682489,951071,265269
8583,248076,627086,456377,575909
9284,403778,965292,308959,93254
5644,109907,889519,78690,856273
3159,618429,603973,518272,566234
6639,348379,799039,533686,993478
9083,921140,611051,678048,705366
8283,802399,936325,336932,883199
4737,758817,120144,49944,291136
4333,492088,702864,799546,817422
5714,207298,341602,281539,777866
9398,562137,648818,316549,391844
4407,882875,306588,678042,693183
6686,808205,45587,3536,404563
5850,781908,933069,603374,946998
442,983090,23068,485742,921799
4012,535393,811558,671031,223711
1682,271136,923637,942425,500461
294,127458,619914,996596,646924
6772,734516,877430,354171,449745
3128,137848,472535,697987,23722
8614,42990,190673,780517,966770
6004,436739,675311,907235,229636
9136,12022,437927,462389,644335
4174,282234,320549,995052,708113
3013,908283,846085,988268,642757
496,194775,395342,218058,164677
4889,867688,176886,886913,295298
6043,361649,155995,819851,737672
6188,223826,25195,726635,311258
9156,455436,979143,277873,89121
9366,199977,214821,285759,163893
3415,739834,347225,463135,342153
1542,709005,449585,252702,13802
997,18347,399880,149795,901557
4427,453963,866860,281346,137516
1692,550774,52364,818260,77549
3739,423623,490050,999922,268772
6818,263747,616772,518919,570257
297,620696,658954,483781,854880
795,789654,767877,364456,771328
3278,60565,865600,411048,919852
8928,680018,495426,341762,582955
5388,887253,469419,240518,730096
6955,930689,526187,486887,697025
4333,816169,498090,843975,73825
5534,727818,950535,209589,128126
8830,125652,172264,798783,466081
9166,322793,248627,458345,71346
7272,902314,184084,774905,858041
9030,442343,561669,903392,101888
4206,400373,656703,767108,957669
4606,343150,791327,144510,980108
1152,825776,272298,767478,423286
8985,371169,138030,286410,89947
532,40821,135863,45875,32042
4776,768290,474473,357426,895919
4914,815544,65937,553223,624864
288,987432,276134,795128,859151
782,931825,451045,7947,506943
9932,311125,862720,890832,274651
2831,881017,698478,141653,718544
8047,986891,615120,180097,98828
7068,813410,943564,954641,669552
4380,694228,670811,907713,497610
4270,217799,903935,16941,322784
3619,920526,684016,71322,658858
5183,281520,41210,732798,221438
8414,197188,856069,835997,81988
4868,169111,928177,776581,617282
9520,801536,310857,918074,450568
7842,993133,306412,62769,660208
7655,761011,11083,732970,620357
113,212442,773545,319372,714448
2658,638383,241737,877454,580853
4899,440967,3882,589060,486044
1798,825678,803035,611195,273031
9350,854220,276263,718045,281512
5971,397140,885396,985453,524149
3049,765368,879372,403688,254826
3574,461628,117378,203703,699813
9515,498701,747653,55188,725868
1659,948702,721841,873121,793132
2992,382038,498876,135378,527387
7758,188571,983130,644246,955106
8924,561509,637754,957016,268712
3517,310270,374619,842459,549242
9185,857372,562333,365682,867551
2248,977801,912035,27163,388551
5827,715611,954852,166559,750907
9607,270453,533689,569045,517669
2214,632777,975866,370685,453367
9637,864574,670297,206147,265304
6926,298874,699270,874716,645447
